Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A blockchain-based integrated document management framework for construction applications,"Das, M; Tao, XY; Liu, YH; Cheng, JCP","Document management systems in AEC projects manage important project documents such as schedules, RFIs, and change orders. Hence, security concerns in document management systems especially involving data integrity of documents and records may have a severe effect on a project in terms of money and the reputations of project participants. Therefore, in this research blockchain technology is leveraged to facilitate data integrity in document management for construction applications through - (1) irreversible and irrevocable approval workflow logic via smart contract technology, (2) irreversible recording of document changes via blockchain ledger technology, and (3) document version history integrity via a blockchain-based data structure. A prototype of the proposed smart contract framework was developed using Hyperledger fabric and evaluated. The scalability of the proposed framework to support document version integrity was also evaluated and discussed. A formulation based on existing literature is developed to evaluate the cost viability of the proposed framework.",2022,,AUTOMATION IN CONSTRUCTION,133,,,WOS:000716642800007,10.1016/j.autcon.2021.104001,,#1,Das 2022,Exclusion reason: Framework Not Provided; ,""
Reconfigurable Smart Contracts for Renewable Energy Exchange with Re-Use of Verification Rules,"Gorski, T","Smart contracts constitute the foundation for blockchain distributed applications. These constructs enable transactions in trustless environments using consensus algorithms and software-controlled verification rules. In the current state of the art, there is a shortage of works on the adaptability of smart contracts, and the re-use of their source code is limited mainly to cloning. The paper discusses the pattern of smart contract design and implementation with the overt declaration of verification rules. The author introduces two advantages of the pattern: Firstly, run-time reconfigurability of the list of smart contract verification rules to adjust for various transaction types. Secondly, the re-use of verification rules between different configurations of the smart contract, and among diverse smart contracts. The paper uses blockchain platform-independent stereotypes from a dedicated Unified Modeling Language (UML) profile for designing smart contracts and verification rules. The implementation of the pattern is developed in object-oriented Java language. The pattern exploits polymorphism and controls inheritance by using sealed classes with permission for specialization only for selected final ones. Thus, the pattern ensures two recently highly desired properties in smart contract design and development: re-use and security. Moreover, the declared verification rules list facilitates test automation and reduces test preparation effort due to the re-use of test classes among smart contract configurations. The pattern usage is illustrated in the example of renewable energy exchange within the prosumers community and amid various communities.",2022,,APPLIED SCIENCES-BASEL,12,11,,WOS:000808644800001,10.3390/app12115339,,#6,Gorski 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Solidity Code Generation From UML State Machines in Model-Driven Smart Contract Development,"Jurgelaitis, M; Ceponiene, L; Butkiene, R","For the development of blockchain smart contracts, a structured approach based on the principles of the Model Driven Architecture can be beneficial and facilitate the implementation of smart contracts. This paper presents such an approach, which, in combination with Unified Modeling Language (UML) Class and State machine diagrams, allows the smart contract structure and behavior logic to be modeled in several abstraction layers. This paper delves into details on how the model-to-model transformations from the specified Blockchain Platform Independent Model (PIM) with specified state-like behavior can be used to produce a Solidity Platform Specific Model (PSM). Subsequently, we elaborate on how the Solidity PSM is used for Solidity smart contract code generation by employing model-to-text transformations. The paper also demonstrates the process of our proposed transformations and code generation using smart contract code examples from Solidity documentation. Based on the examples, a Blockchain PIM is specified and transformed to Solidity PSM, which is then used for Solidity smart contract code generation. The generated smart contract code is then compiled, deployed on the Ethereum blockchain JavaScript virtual machine, and compared to the original smart contract code in terms of Solidity code metrics, similarity scores, and execution costs. The evaluation results indicate that our approach could be successfully used to model and later generate smart contract code.",2022,,IEEE ACCESS,10,,33465-33481,WOS:000777130700001,10.1109/ACCESS.2022.3162227,,#17,Jurgelaitis 2022,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
The Automatic Generation of Smart Contract Based on Configuration in the Field of Government Services,"Zhang, YY; Zhang, JR; Zhang, H","With the development of blockchain technology, the automatic generation of smart contract has become a hot research topic. The existing smart contract automatic generation technology still has improvement spaces in complex process, third-party specialized tools required, specific the compatibility of code and running environment. In this paper, we propose an automatic smart contract generation method, which is domain-oriented and configuration-based. It is designed and implemented with the application scenarios of government service. The process of configuration, public state database definition, code generation and formal verification are included. In the Hyperledger Fabric environment, the applicability of the generated smart contract code is verified. Furthermore, its quality and security are formally verified with the help of third-party testing tools. The experimental results show that the quality and security of the generated smart contract code meet the expect standards. The automatic smart contract generation will ""elegantly"" be applied on the work of anti-disclosure, privacy protection, and prophecy processing in government service. To effectively enable develop ""programmable government "".",2022,,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,E105D,12,2066-2074,WOS:000892257200009,10.1587/transinf.2022EDP7016,,#18,Zhang 2022,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
Intelligible Description Language Contract (IDLC) - A Novel Smart Contract Model,"Qin, P; Tan, WM; Guo, JZ; Shen, BQ","The development of Industry 4.0, smart contract is one of critical application in the blockchain platform, which is the remove of intermediary services to facilitate transactions directly between stakeholders, in which the trust between stakeholders is guaranteed by a blockchain system. However, existing solution of automated execution of smart contract is simply given by the prescribed program code. This solution results in two negative effects: the contract is not human-readable and difficult to modify; contracting parties cannot collaboratively draft the contract and cannot assure the shared consent of the contract. Therefore, we will introduce a brand-new solution of smart contract, called Intelligible Description Language Contract (IDLC). It will allow contracting parties to draft a contract collaboratively just as working on text editor with a supportive tool of concept disambiguation through Supervised Sentence Contract (SSC). SSC consists of Machine Natural language (MNL) via Semantic input method (SIM). SIM provides a method of supervised contract obligation creation. MNL provides the capability of universal computer-understandability. Meanwhile, in the complex contract transactions and management, especially in supply chain management, a chained evidence sequence is designed to avoid collusion. IDLC is a first paradigm that bridges the traditional contract based on natural languages and the smart contract based on blockchain platform.",,,INFORMATION SYSTEMS FRONTIERS,,,,WOS:000650301100001,10.1007/s10796-021-10138-4,,#32,,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
Financial Contract Administration in Construction via Cryptocurrency Blockchain and Smart Contract: A Proof of Concept,"Ibrahim, R; Harby, AA; Nashwan, MS; Elhakeem, A","The blockchain that uses cryptocurrency is a paradigm shift in the way of data storage, retrieval, and verification due to the concept of decentralization. This paradigm is essential to ensure the security of crucial data in any project. Adding a smart contract to the blockchain would facilitate the automation of various processes. Thus, the cryptocurrency blockchain that uses the smart contract can be considered a suitable platform for an ecosystem of many industries. The construction industry needs a highly secure automated management system due to its complex contractual relationships and transactions between parties. Therefore, integrating the blockchain with the smart contract creates the most appropriate ecosystem to be developed. This study introduces an ecosystemic prototype using a programmable smart contract within a novel cryptocurrency blockchain for construction. The purpose of the prototype is to guarantee a decentralized system as an independent economic environment for the construction industry. The system guarantees the security of financial transactions and focuses on the payment clauses in the construction contract as well. The results depended on three well-known hypothetical case scenarios from the construction site and were displayed in the form of extracted access data tables. The prototype proved the efficiency of the decentralized system for the construction industry by minimizing human-factor interference in the transaction process and thus reducing time waste and cost.",2022,,BUILDINGS,12,8,,WOS:000845095200001,10.3390/buildings12081072,,#73,Ibrahim 2022,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
iContractML 2.0: A domain-specific language for modeling and deploying smart contracts onto multiple blockchain platforms,"Hamdaqa, M; Met, LAP; Qasse, I","Context: Smart contracts play a vital role in many fields. Despite being called smart, the development of smart contracts is a tedious task beyond defining a set of contractual rules. In addition to business knowledge, coding a smart contract requires strong technical knowledge in a multiplex of new and rapidly changing domain-specific languages and blockchain platforms. Objectives: The goal of this paper is to assist developers in building smart contracts independently from the language or the target blockchain platform. In which, we present our second-generation smart contract language iContractML 2.0. Methods: We follow a feature-oriented approach to analyze three different blockchain platforms and propose an enhanced reference model and a modeling framework for smart contracts (iContractML 2.0). Then, we evaluate the coverage and extensibility of iContractML 2.0, first through mapping the concepts of the reference models to the constructs within each of the platforms used in devising the reference model, and second through mapping its concepts to a new smart contract language not previously considered. Finally, we demonstrate the capabilities of iContractML 2.0 using five case studies from different business domains. Results: iContractML 2.0 extends our first generation language to support DAML, which is another standardized language for smart contracts. This makes iContractML 2.0 supports the platforms that DAML support by extension. Moreover, iContractML 2.0 supports generating the structural and deployment artifacts in addition to the smart contract behavior by implementing templates for some of the common functions. The results of evaluating the generality of the iContractML 2.0 reference model show that it is 91.7% lucid and 72.2% laconic. Moreover, the reference model is able to capture all the elements of the new language with 83.3% of the components which have a direct one-to-one mapping. Conclusion: iContractML 2.0 is an extensible framework that empowers developers to model and generate functional smart contract code that can be deployed onto multiple blockchain platforms.",2022,,INFORMATION AND SOFTWARE TECHNOLOGY,144,,,WOS:000745098800005,10.1016/j.infsof.2021.106762,,#95,Hamdaqa 2022,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
A conceptual framework for blockchain smart contract adoption to manage real estate deals in smart cities,"Ullah, F; Al-Turjman, F","Blockchains-based smart contracts are disrupting the smart real estate sector of the smart cities. The current study explores the literature focused on blockchain smart contracts in smart real estate and proposes a conceptual framework for its adoption in smart cities. Based on a systematic review method, the literature published between 2000 and 2020 is explored and analyzed. From the literature, ten key aspects of the blockchain smart contracts are highlighted that are grouped into six layers for adopting the smart contracts in smart real estate. The decentralized application and its interactions with Ethereum Virtual Machine (EVM) are presented to show the development of a smart contract that can be used for blockchain smart contracts in real estate. Further, a detailed design and interaction mechanism are highlighted for the real estate owners and users as parties to a smart contract. A list of functions for initiating, creating, modifying, or terminating a smart contract is presented along with a stepwise procedure for establishing and terminating smart contracts. The current study can help the users enjoy a more immersive, user-friendly, and visualized contracting process, whereas the owners, property technologies (Proptech) companies, and real estate agents can enjoy more business and sales. This can help disrupt traditional real estate and transform it into smart real estate in line with industry 4.0 requirements.",2023,,NEURAL COMPUTING & APPLICATIONS,35,7,5033-5054,WOS:000620432400001,10.1007/s00521-021-05800-6,,#128,Ullah 2023,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Automated Payment and Contract Management in the Construction Industry by Integrating Building Information Modeling and Blockchain-Based Smart Contracts,"Sigalov, K; Ye, XL; Konig, M; Hagedorn, P; Blum, F; Severin, B; Hettmer, M; Huckinghaus, P; Wolkerling, J; Gross, D","Construction projects usually involve signing various contracts with specific billing procedures. In practice, dealing with complex contract structures causes significant problems, especially with regard to timely payment and guaranteed cash flow. Furthermore, a lack of transparency leads to a loss of trust. As a result, late or non-payment is a common problem in the construction industry. This paper presents the concept of implementing smart contracts for automated, transparent, and traceable payment processing for construction projects. Automated billing is achieved by combining Building Information Modeling (BIM) approaches with blockchain-based smart contracts. Thereby, parts of traditional construction contracts are transferred to a smart contract. The smart contract is set up using digital BIM-based tender documents and contains all of the relevant data for financial transactions. Once the contracted construction work has been accepted by the client, payments can be made automatically via authorized financial institutions. This paper describes the framework, referred to as BIMcontracts, the container-based data exchange, and the digital contract management workflow. It discusses the industry-specific requirements for blockchain and data storage and explains which technical and software architectural decisions were made. A case study is used to demonstrate the current implementation of the concept.",2021,,APPLIED SCIENCES-BASEL,11,16,,WOS:000688636500001,10.3390/app11167653,,#165,Sigalov 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Towards Auto Contract Generation and Ensemble-based Smart Contract Vulnerability Detection,"Puducherry, KL; Puducherry, KS","Smart contracts (SC) are computer programs that are major components of Blockchain. The ""intelligent contract "" is made up of the rules accepted by the parties concerned. When the transactions started by the parties obey these established rules, then only their transactions will be completed without the involvement of a third party. Because of the simplicity and succinct nature of the solidity language, most smart contracts are written in this language. Smart contracts have two limitations, which are vulnerabilities in SC and that smart contracts can't be understood by all stakeholders, especially non-technical people who are involved in the business, since they are written in a programming language. Hence, the proposed paper used the XGBoost model and BPMN (Business Process Modeling Notation) tool to solve the first and second limitations of the SC respectively. Attackers are drawn to attention because of the popularity and fragility of the Solidity language. Once smart contracts have been launched, they can't be changed. If that smart contract is vulnerable, attackers may then cash it. BPMN is used to represent business rules or contracts in graphical notation, so everyone involved in the business can understand the business rules. This BPMN diagram can be converted into a smart contract template through the BPMN-SOL tool. A few publications and existing tools exist on smart contract vulnerability detection, but they require more time to forecast and interpretation of vulnerability causes is also difficult. Thus, the proposed model experimented with several deep learning approaches and improved F1 score results by an average of 2% using the XGBoost model based on the ensemble technique to detect vulnerabilities of SCs, which are: Denial of Service (DOS), Unchecked external call, Re-entrancy, and Origin of Transaction. This paper also combined two important features to construct a data set, which are code snippets and n-grams.",2022,,INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING SYSTEMS,13,9,747-757,WOS:000896768100003,,,#167,Puducherry 2022,Exclusion reason: Methods/inputs/outputs not provided; ,""
